product_name,barcode,category_level1,category_level2,category_level3,category_level4
PANTHENOL EXTRA PROMO LIMITED EDITION PATH OF SHADOW DARK SHADOWS 3IN1 CLEANSER 200 ML & DARK SHADOWS EDT 50 ML,5200312246690,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,BEAUTY COFFRET,WOMEN BEAUTY COFFRET,WOM. BODY BEAUTY COFFR.
PANTHENOL EXTRA PANTHENOL EXTRA MEN PROMO MEN AFTER SHAVE BALM 75 ML & MEN 3IN1 CLEANSER 200 ML & DEODORANT ROLL-ON 50 ML & GIFT NECESSAIRE 1 PC,5200312246720,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,BEAUTY COFFRET,MEN BEAUTY COFFRET,
TIME ERASER PROMO FLUID BIOCONCEALER EYE GEL-CREAM 20 ML & PREBIOTICS FOAMING CLEANSER 20 ML & GIFT NECESSAIRE 1 PC,5200312246805,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,BEAUTY COFFRET,WOMEN BEAUTY COFFRET,WOM. FACE BEAUTY COFFR.
SUMMERLINE INSECT REPELLENT SPRAY 100 ML,5200312247062,PHARMACEUTICALS,INSECT REPELLENTS,,
PANTHENOL EXTRA DAY CREAM SPF15 DAY CREAM 50 ML,5200312247208,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,FACE CARE,MOISTURIZERS,NORMAL SKIN MOISTURIZ.
PANTHENOL EXTRA FACE & EYE CREAM ANTI-WRINKLE FACE & EYE CREAM 50 ML,5200312247215,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,FACE CARE,ANTI-AGING,WOMEN ANTI-AGING DAY
PANTHENOL EXTRA NIGHT CREAM FOR NOURISHMENT & REPAIR 50 ML,5200312247222,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,FACE CARE,ANTI-AGING,WOMEN ANTI-AGING NIGHT
PANTHENOL EXTRA TRIPLE DEFENSE ANTI-AGING EYE CREAM 25 ML,5200312247246,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,EYE CARE,ANTI-AGING EYE,
PANTHENOL EXTRA FACE & EYE NEW FORMULA ANTI-WRINKLE FACE & EYE SERUM 30 ML,5200312247253,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,EYE CARE,ANTI-AGING EYE,
PANTHENOL EXTRA MICELLAR TRUE CLEANSER WATER 3IN1 FACIAL CLEANSER 500 ML,5200312247307,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,FACE CARE,FACE CLEANSING,NOT RINSED FACE CLEANS.
PANTHENOL EXTRA FACE CLEANSING GEL 390 ML,5200312247338,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,FACE CARE,FACE CLEANSING,RINSED FACE CLEANSERS
